PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
11.1351,330118,11.1278,113023,11.1278,64408.6,11.1262,26988.4
11.1286,329113,11.1213,113569,11.1213,64337.1,11.1197,24803.9
11.1221,328119,11.1148,111484,11.1148,64550.6,11.1132,23578.6
11.1156,328032,11.1083,109851,11.1083,62035.1,11.1067,23845
11.1091,325533,11.1018,110804,11.1018,62479.6,11.1002,24653.5
11.1026,324523,11.0953,110991,11.0953,62448.8,11.0937,23999.8
11.0961,325626,11.0888,109273,11.0888,62563.3,11.0871,24337.8
11.0896,324072,11.0823,109281,11.0823,63564.2,11.0806,24874.8
11.0831,323033,11.0758,109031,11.0758,62219.7,11.0741,24462.4
11.0766,323888,11.0693,109575,11.0693,62611.7,11.0676,23258.8
11.0701,321144,11.0627,108410,11.0627,60799.6,11.0611,24112.4
11.0636,319401,11.0562,108069,11.0562,60623.8,11.0546,22276.4
11.0571,320234,11.0497,109244,11.0497,62340.5,11.0481,22545.6
11.0505,317635,11.0432,107733,11.0432,62907.7,11.0416,23256.1
11.044,319236,11.0367,108444,11.0367,61691.8,11.0351,23987.7
11.0375,317448,11.0302,108028,11.0302,61845.5,11.0286,22910.9
11.031,317876,11.0237,107660,11.0237,61325.1,11.0221,21856.4
11.0245,316199,11.0172,108073,11.0172,60230.6,11.0156,23070.8
11.018,316531,11.0107,107627,11.0107,60108.4,11.0091,22633.2
11.0115,314833,11.0042,106316,11.0042,61295.6,11.0026,22586.1
11.005,314582,10.9977,105971,10.9977,61559.1,10.9961,21599.4
10.9985,312452,10.9912,106232,10.9912,60971.1,10.9895,22845.9
10.992,311894,10.9847,107274,10.9847,60456.6,10.983,22200
10.9855,311526,10.9782,105471,10.9782,60789.1,10.9765,23906.4
10.979,312197,10.9717,105464,10.9717,60376,10.97,21644.1
10.9725,310911,10.9651,106033,10.9651,57757.5,10.9635,21669.1
10.966,310502,10.9586,105958,10.9586,56572.5,10.957,21745.5
10.9595,309061,10.9521,107050,10.9521,60319.9,10.9505,22166.2
10.9529,308500,10.9456,105230,10.9456,59845.5,10.944,22283.6
10.9464,308596,10.9391,104892,10.9391,58948.4,10.9375,20622.8
10.9399,307006,10.9326,103044,10.9326,58669.6,10.931,22117.5
10.9334,306366,10.9261,102091,10.9261,58351.5,10.9245,21919.5
10.9269,306178,10.9196,102582,10.9196,57616.3,10.918,20963.8
10.9204,304399,10.9131,103310,10.9131,58232.5,10.9115,20934
10.9139,304731,10.9066,103932,10.9066,59177.5,10.905,20781.7
10.9074,304210,10.9001,104344,10.9001,56383.8,10.8985,21882.9
10.9009,303665,10.8936,103233,10.8936,56300.9,10.8919,22586.7
10.8944,304460,10.8871,103409,10.8871,57464.2,10.8854,22231
10.8879,301761,10.8806,102905,10.8806,58688.9,10.8789,19588.8
10.8814,301061,10.8741,101485,10.8741,58457.4,10.8724,21178.5
10.8749,302595,10.8675,102762,10.8675,57876.7,10.8659,20672.6
10.8684,299608,10.861,102916,10.861,57444.3,10.8594,20398.7
10.8619,302045,10.8545,102252,10.8545,56296.8,10.8529,21112.3
10.8553,299201,10.848,102060,10.848,57395.3,10.8464,21294.7
10.8488,299972,10.8415,100748,10.8415,57887.4,10.8399,21144.1
10.8423,300172,10.835,102732,10.835,55993.8,10.8334,20025.1
10.8358,299199,10.8285,101626,10.8285,58795.9,10.8269,19273.2
10.8293,296163,10.822,100802,10.822,56613.3,10.8204,19884.5
10.8228,297764,10.8155,101608,10.8155,57579.7,10.8139,20871.1
10.8163,296667,10.809,100888,10.809,55909.3,10.8074,20394.6
10.8098,294254,10.8025,101814,10.8025,55106,10.8009,19900.8
10.8033,294940,10.796,99313.7,10.796,55964.8,10.7943,20728.3
10.7968,295279,10.7895,100417,10.7895,57266.1,10.7878,20114.8
10.7903,294576,10.783,100484,10.783,57102.4,10.7813,20268
10.7838,293682,10.7765,100716,10.7765,55445.3,10.7748,19599
10.7773,294220,10.7699,98576.2,10.7699,55628.7,10.7683,19791.4
10.7708,294122,10.7634,100017,10.7634,55358.3,10.7618,18710.1
10.7643,292819,10.7569,98249.1,10.7569,55618.5,10.7553,21677.4
10.7577,293497,10.7504,99697.8,10.7504,55566.7,10.7488,18505.5
10.7512,291684,10.7439,100483,10.7439,56079.7,10.7423,19745.9
